GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gui,app,Main,10,0,0,0,4,0,2,0,2,0
gui,controller,HuoneController,100,28,6,0,28,7,12,4,9,4
gui,controller,LoginController,211,0,10,0,52,0,16,0,11,0
gui,controller,AsiakasController,60,0,0,0,14,0,8,0,8,0
gui,controller,HomeController,33,0,0,0,8,0,3,0,3,0
gui,controller,HotelliController,37,0,0,0,10,0,5,0,5,0
gui,controller,LaskuController,119,18,10,0,26,5,11,3,6,3
gui,controller,VarausController,217,0,22,0,49,0,24,0,13,0
gui,controller,KayttajaController,38,0,0,0,9,0,4,0,4,0
gui,view,LoginGui,72,156,6,0,19,28,7,2,4,2
gui,view,OhjelmistoGUI,452,0,2,0,86,0,23,0,22,0
gui,view,AdminGUI,946,0,34,0,186,0,37,0,20,0
gui,view,RegistrationGui,243,81,7,11,54,22,11,5,4,3
gui,view.sivut,Etusivu,188,0,2,0,31,0,7,0,6,0
gui,view.sivut,CheckIn,968,0,34,0,179,0,35,0,18,0
gui,view.sivut,CheckOut,1173,0,32,0,231,0,30,0,14,0
gui,view.sivut,VarausSivu.new Task() {...},15,0,0,0,3,0,2,0,2,0
gui,view.sivut,VarausSivu.new Task() {...},21,0,0,0,2,0,2,0,2,0
gui,view.sivut,AsiakasSivu,758,0,4,0,146,0,16,0,14,0
gui,view.sivut,VarausSivu,1153,0,28,0,213,0,32,0,18,0
gui,view.sivut,CheckIn.new Task() {...},16,0,0,0,2,0,2,0,2,0
gui,view.sivut,AsiakasSivu.new Task() {...},11,0,0,0,2,0,2,0,2,0
gui,view.sivut,CheckIn.new Task() {...},21,0,0,0,2,0,2,0,2,0
gui,view.sivut,AsiakasSivu.new TableCell() {...},102,0,2,0,21,0,5,0,4,0
gui,view.sivut,HuoneSivu,983,0,38,0,173,0,38,0,19,0
gui,view.sivut,HuoneSivu.new Task() {...},16,0,0,0,2,0,2,0,2,0
gui,view.sivut,HuoneSivu.new TableCell() {...},109,0,2,0,22,0,5,0,4,0
gui,model.enteties,LaskuData,104,0,0,0,36,0,18,0,18,0
gui,model.enteties,Varaus,53,3,0,0,21,2,11,1,11,1
gui,model.enteties,Kayttaja,49,27,0,0,18,14,9,7,9,7
gui,model.enteties,Hotelli,39,3,0,0,14,2,7,1,7,1
gui,model.enteties,Asiakas,70,3,0,0,29,2,15,1,15,1
gui,model.enteties,Huone,43,15,0,0,18,6,7,5,7,5
gui,model.enteties,Lasku,43,9,0,0,18,4,8,3,8,3
gui,model.service,UserSession,13,0,0,0,7,0,5,0,5,0
gui,model.service,CurrencyConverter,71,0,2,0,20,0,3,0,2,0
gui,model.service,Kirjautuminen,3,0,0,0,1,0,1,0,1,0
gui,utils,PasswordUtils,12,0,0,0,3,0,3,0,3,0
gui,model.DAO,HuoneDAO,280,70,40,6,96,25,32,4,9,4
gui,model.DAO,KayttajaDAO,375,3,32,0,125,1,26,1,10,1
gui,model.DAO,HotelliDAO,68,3,8,0,22,1,8,1,4,1
gui,model.DAO,VarausDAO,230,0,24,0,76,0,22,0,10,0
gui,model.DAO,AsiakasDAO,287,0,34,0,103,0,27,0,10,0
gui,model.DAO,LaskuDAO,132,47,20,4,47,16,17,3,5,3
gui,model.datasourse,MariaDbConnection,3,7,0,0,1,2,1,2,1,2
